epoch,accuracy,loss,val_accuracy,val_loss
0,0.5093894600868225,0.7202551960945129,0.4983665943145752,0.6937255859375
0,0.5058513879776001,0.7274838089942932,0.4943738579750061,0.8108100891113281
1,0.4984124004840851,0.6956102252006531,0.4987295866012573,0.6983774900436401
2,0.4965980350971222,0.6957921385765076,0.5030853152275085,0.6931719779968262
3,0.4935135543346405,0.6995599865913391,0.49364790320396423,0.6970403790473938
4,0.5017236471176147,0.6972196102142334,0.49364790320396423,0.7128711938858032
5,0.5005443096160889,0.6952139139175415,0.5005444884300232,4.252144813537598
6,0.49700626730918884,0.695045530796051,0.5092558860778809,0.6922681331634521
7,0.5022679567337036,0.6951941251754761,0.4925589859485626,0.7166621685028076
8,0.49342283606529236,0.6955393552780151,0.5085299611091614,0.7268204689025879
9,0.4965526759624481,0.6952900290489197,0.5099818706512451,0.6918295621871948
10,0.49927425384521484,0.6958314180374146,0.49473685026168823,0.6982069611549377
0,0.8561190366744995,0.34241634607315063,0.6787658929824829,0.6268817186355591
1,0.9414406418800354,0.18809197843074799,0.9168784022331238,0.22491423785686493
2,0.9497414231300354,0.16510695219039917,0.9553539156913757,0.1432349979877472
3,0.9532341361045837,0.1520981788635254,0.934664249420166,0.1875755488872528
4,0.9542320370674133,0.15033569931983948,0.9368420839309692,0.17567996680736542
5,0.9543227553367615,0.14283229410648346,0.9419237971305847,0.20725682377815247
6,0.9567722082138062,0.1379242092370987,0.9578947424888611,0.13808763027191162
7,0.9564546942710876,0.13636736571788788,0.9582577347755432,0.15146192908287048
8,0.9590401649475098,0.132264643907547,0.9553539156913757,0.13988719880580902
9,0.9569990038871765,0.12831777334213257,0.9607985615730286,0.14951038360595703
10,0.957316517829895,0.1290275603532791,0.9611615538597107,0.14215801656246185
